context_section,anchor_text,destination_url,link_type,rel_attributes,notes
Next Step CTA,Cycling Coach,/cycling-coach/,internal,,Source: gear/index.html L304-L307
Heaters — 5–10 Gallons,"Hitop 50W Adjustable Aquarium Heater, Submersible Glass Water Heater for 5–15 Gallon Fish Tank",https://amzn.to/3KFMlOx,affiliate,sponsored noopener noreferrer,Source: data/gear_heaters.csv L2
Heaters — 5–10 Gallons,hygger Mini Fish Tank Submersible Heater 50W for 5–10 Gallons Small Betta Aquarium Heater with Digital Display Controller Adjustable Temperature,https://amzn.to/479AuRA,affiliate,sponsored noopener noreferrer,Source: data/gear_heaters.csv L3
Heaters — 5–10 Gallons,"hygger Aquarium Heater, Upgraded Ceramic 50W Small Fish Tank Heater with Digital LED Controller, Fast Heating, Precise Temperature Control, Turtle Tank Heater for Freshwater/Saltwater",https://amzn.to/3KBKiLp,affiliate,sponsored noopener noreferrer,Source: data/gear_heaters.csv L4
Heaters — 10–20 Gallons,"Hitop 100w Adjustable Aquarium Heater, Submersible Glass Water Heater for 10 – 30 Gallon Fish Tank",https://amzn.to/4nXCmT2,affiliate,sponsored noopener noreferrer,Source: data/gear_heaters.csv L5
Heaters — 10–20 Gallons,"Fluval M 50-Watt Submersible Aquarium Heater – Compact, Reliable Heating with Mirror Technology for Fresh & Saltwater Tanks Up to 15 Gallons",https://amzn.to/4pTvtnA,affiliate,sponsored noopener noreferrer,Source: data/gear_heaters.csv L6
Heaters — 10–20 Gallons,"hygger Aquarium Heater, Submersible Fish Tank Heater 100W with Digital LED Controller, Memory Function, Auto Shut Off Protection, Heater for Saltwater Freshwater Fish Tank",https://amzn.to/46DNSxo,affiliate,sponsored noopener noreferrer,Source: data/gear_heaters.csv L7
Heaters — 20–40 Gallons,"Hitop 300W Aquarium Heater, Submersible Glass Water Heater 35–70 Gallon Fish Tank",https://amzn.to/4n9U4lP,affiliate,sponsored noopener noreferrer,Source: data/gear_heaters.csv L8
Heaters — 20–40 Gallons,hygger 802 Aquarium Titanium Heater Tube Heating Element Replacement Heater Rod (Controller Excluded) (200W),https://amzn.to/42Zj6wn,affiliate,sponsored noopener noreferrer,Source: data/gear_heaters.csv L9
Heaters — 20–40 Gallons,"hygger Aquarium Heater 200W, Submersible Fish Tank Heater with Digital LED Controller, Overheating & Auto Shut Off Protection, Betta Turtle Tank Heater, for Saltwater & Freshwater Fish Tank 20–55 Gallon",https://amzn.to/4mORQry,affiliate,sponsored noopener noreferrer,Source: data/gear_heaters.csv L10
Heaters — 40–55 Gallons,"Hitop 300W Aquarium Heater, Submersible Glass Water Heater (35–70 Gallon Fish Tank)",https://amzn.to/46Qv3ps,affiliate,sponsored noopener noreferrer,Source: data/gear_heaters.csv L11
Heaters — 40–55 Gallons,"hygger Aquarium Heater 300W, Fish Tank Heater with Digital LED Controller, Overheating & Auto Shut Off Protection, Memory Function, Submersible Fish Heater for Saltwater & Freshwater Fish Tank 25–80 Gallon",https://amzn.to/4nF3vuv,affiliate,sponsored noopener noreferrer,Source: data/gear_heaters.csv L12
Heaters — 40–55 Gallons,AQQA Aquarium Heater 500W for 55–130 Gallon Fish Tank Heater Quartz Glass Submersible Betta Fish Heater for Aquarium Thermostat Heater with External Digital Controller (AQ136-500W for 55–130Gal),https://amzn.to/3WsfsHG,affiliate,sponsored noopener noreferrer,Source: data/gear_heaters.csv L13
Heaters — 55–75 Gallons,AQQA Aquarium Heater 500W for 55–130 Gallon Fish Tank Heater Quartz Glass Submersible Betta Fish Heater for Aquarium Thermostat Heater with External Digital Controller (AQ136-500W for 55–130Gal),https://amzn.to/42q5t9x,affiliate,sponsored noopener noreferrer,Source: data/gear_heaters.csv L14
Heaters — 55–75 Gallons,"hygger Aquarium Heater with Intelligent Temperature Controller, 500W for 66–135 Gallon Submersible Fish Tank Heater with Leaving Water Automatically Stop Heating System, for Freshwater Saltwater",https://amzn.to/479hliF,affiliate,sponsored noopener noreferrer,Source: data/gear_heaters.csv L15
Heaters — 55–75 Gallons,"Fluval M 200-Watt Submersible Aquarium Heater – High-Performance, Compact Heating with Mirror Technology for Fresh & Saltwater Tanks",https://amzn.to/4o4Z6Az,affiliate,sponsored noopener noreferrer,Source: data/gear_heaters.csv L16
Heaters — 75–125 Gallons,"hygger 500W Aquarium Heater with Controller, Adjustable & Submersible Fish Tank Heater with Digital Display Safety Triple Protection Beeping Alarm for Saltwater and Freshwater 65–135 Gallon",https://amzn.to/46ROYo5,affiliate,sponsored noopener noreferrer,Source: data/gear_heaters.csv L17
Heaters — 75–125 Gallons,"hygger Aquarium Heater with Intelligent Temperature Controller, 500W for 66–135 Gallon Submersible Fish Tank Heater with Leaving Water Automatically Stop Heating System, for Freshwater Saltwater",https://amzn.to/3KWN91y,affiliate,sponsored noopener noreferrer,Source: data/gear_heaters.csv L18
Heaters — 75–125 Gallons,AQQA Aquarium Heater 500W for 55–130 Gallon Fish Tank Heater Quartz Glass Submersible Betta Fish Heater for Aquarium Thermostat Heater with External Digital Controller (AQ136-500W for 55–130Gal),https://amzn.to/3WocVON,affiliate,sponsored noopener noreferrer,Source: data/gear_heaters.csv L19
Filters — Filter Media,Seachem Purigen Organic Filtration Resin - Fresh and Saltwater 500 ml (116016308),https://amzn.to/4o7x07V,affiliate,sponsored noopener noreferrer,Source: data/gear_filters.csv L2
Filters — Filter Media,Seachem Matrix Bio Media 1 Liter,https://amzn.to/435usiz,affiliate,sponsored noopener noreferrer,Source: data/gear_filters.csv L3
Filters — Filter Media,"Aquarium Filter Media Pad Cut to Fit Roll, 12"" x 72"" (6 ft)",https://amzn.to/3IDHzAK,affiliate,sponsored noopener noreferrer,Source: data/gear_filters.csv L4
Filters — Filter Media,"Fluval BioMax Biological Material Remover, 500 g - Biological Filter Media for Aquariums",https://amzn.to/48Ryajp,affiliate,sponsored noopener noreferrer,Source: data/gear_filters.csv L5
Filters — Filter Media,"Aquatic Experts Bio Balls Filter Media Bulk, 1.5 Inch (300 Count with 14"" x 20"" Mesh Bag)",https://amzn.to/4o8Pipq,affiliate,sponsored noopener noreferrer,Source: data/gear_filters.csv L6
Filters — Filter Media,"Fluval Spec/Evo/Flex Activated Carbon, Replacement Aquarium Filter Media, 3-Pack, A1377, Black",https://amzn.to/430JHJA,affiliate,sponsored noopener noreferrer,Source: data/gear_filters.csv L7
Filters — Filter Media,Big Kahuna Aquarium Filter Floss Rolls – 12-inch x 6 ft – 1-inch Thick Bonded Media,https://amzn.to/4o2R9vQ,affiliate,sponsored noopener noreferrer,Source: data/gear_filters.csv L8
Filters — Filter Media,"Penn-Plax Undergravel Aquarium Filter for 20 (Long) - 29 Gallon Tanks (Two 14"" x 11.1"" Plates)",https://amzn.to/435uUgL,affiliate,sponsored noopener noreferrer,Source: data/gear_filters.csv L9
Filters — Filter Media,Aquarium Filter Pad - Media Roll 39.4 x 11.8 in (White),https://amzn.to/4h4N5sO,affiliate,sponsored noopener noreferrer,Source: data/gear_filters.csv L10
Filters — Filter Media,"Aquatic Experts Classic Bonded Aquarium Filter Pad - 24"" x 12 ft x 0.75"" (Blue/White)",https://amzn.to/3ICU7s5,affiliate,sponsored noopener noreferrer,Source: data/gear_filters.csv L11
Filters — Filter Media,"AQUANEAT Aquarium Bio Sponge Foam Filter Media Pad Cut-to-Fit (17"" x 11"" x 1/2""–1"")",https://amzn.to/46YC4Vc,affiliate,sponsored noopener noreferrer,Source: data/gear_filters.csv L12
Filters — Filter Media,"Geiserailie 15 Pieces Aquarium Filter Media Bags, 150 Micron, Zipper, 5.5"" x 7.9""",https://amzn.to/4mQHNCj,affiliate,sponsored noopener noreferrer,Source: data/gear_filters.csv L13
Lights — 12–18 inches (alias),"NICREW C10 Plants LED Aquarium Light, 12-18 in, 9 Watts, Full Spectrum Fish Tank Light with Timer, Day and Night Cycle, Brightness Adjustable",https://amzn.to/4mP0Sow,affiliate,sponsored noopener noreferrer,Source: data/gear_lighting.csv L2
Lights — 12–18 inches (alias),"hygger New Mode 24/7 Timer LED Aquarium Light, Auto On Off Full Spectrum Fish Tank Light Fish Colorful/Sun/Nightlight/WRGB Cycle Mode for Freshwater Plants Tank (for 12in~18in Long Tank)",https://amzn.to/3VS4co0,affiliate,sponsored noopener noreferrer,Source: data/gear_lighting.csv L3
Lights — 12–18 inches (alias),"hygger Fish Aquarium LED Light, 14W 24/7 Lighting Sunrise-Daylight-Moonlight Mode DIY, Adjustable Timer/Brightness with Extendable Bracket 7 Colors for Planted Tank",https://amzn.to/4h3wUvY,affiliate,sponsored noopener noreferrer,Source: data/gear_lighting.csv L4
Lights — l-20-24,"NICREW C10 Plants LED Aquarium Light, 18-24 in, 13 Watts, Full Spectrum Fish Tank Light with Timer, Day and Night Cycle, Brightness Adjustable",https://amzn.to/3WpCKxX,affiliate,sponsored noopener noreferrer,Source: data/gear_lighting.csv L5
Lights — l-20-24,"hygger 14W Full Spectrum Aquarium Light with Aluminum Alloy Shell Extendable Brackets, White Blue Red LEDs, External Controller, for Freshwater Fish Tank (18-24 inch)",https://amzn.to/3VRUYIs,affiliate,sponsored noopener noreferrer,Source: data/gear_lighting.csv L6
Lights — l-20-24,hygger Auto On Off LED Aquarium Light 18-24 Inches Dimmable 7 Colors Full Spectrum Fish Tank Light Fixture for Freshwater Planted Tank Built-in Timer Sunrise Sunset,https://amzn.to/4gWRH45,affiliate,sponsored noopener noreferrer,Source: data/gear_lighting.csv L7
Lights — l-24-30,"hygger 16W Full Spectrum Aquarium Light with Aluminum Alloy Shell Extendable Brackets, White Blue Red LEDs, External Controller, for Freshwater Fish Tank (24-30 inch)",https://amzn.to/42oWCVx,affiliate,sponsored noopener noreferrer,Source: data/gear_lighting.csv L8
Lights — l-24-30,"AQQA Aquarium Light, Multi-Function Fish Tank LED Light 24/7 DIY Auto On Off + Night Mode + Day Mode + Full Spectrum + 7 Colors, Adjustable Brightness Waterproof with Timer for Freshwater 24W",https://amzn.to/4gU5ZlU,affiliate,sponsored noopener noreferrer,Source: data/gear_lighting.csv L9
Lights — l-24-30,"hygger Advanced Remote Control Aquarium Light Customizable Full Spectrum Fish Tank LED with DIY, Default & Weather Mode Freshwater Planted Tank",https://amzn.to/4h3Ob8k,affiliate,sponsored noopener noreferrer,Source: data/gear_lighting.csv L10
Lights — l-30-36,"hygger 20W Full Spectrum Aquarium Light with Aluminum Alloy Shell Extendable Brackets, White Blue Red LEDs, External Controller, for Freshwater Fish Tank (30-36 inch)",https://amzn.to/3Wo63Rt,affiliate,sponsored noopener noreferrer,Source: data/gear_lighting.csv L11
Lights — l-30-36,"hygger 20W Full Spectrum Aquarium Light with Aluminum Alloy Shell Extendable Brackets, White Blue Red LEDs, External Controller, for Freshwater Fish Tank (30-36 inch)",https://amzn.to/4q2HWWo,affiliate,sponsored noopener noreferrer,Source: data/gear_lighting.csv L12
Lights — l-30-36,"hygger Advanced Remote Control Aquarium Light Customizable Full Spectrum Fish Tank LED with DIY, Default & Weather Mode Freshwater Planted Tank",https://amzn.to/46L2CZS,affiliate,sponsored noopener noreferrer,Source: data/gear_lighting.csv L13
Lights — 36–48 inches,"hygger 36W 24/7 Lighting Aquarium LED Light, Sunrise-Daylight-Moonlight Mode and DIY Mode, Adjustable Timer Adjustable Brightness Fish Tank Light with Extendable Bracket 7 Colors for Planted Tank",https://amzn.to/4nAAekl,affiliate,sponsored noopener noreferrer,Source: data/gear_lighting.csv L14
Lights — 36–48 inches,"AQQA Aquarium Light, Multi-Function Fish Tank LED Light 24/7 DIY Auto On Off + Night Mode + Day Mode + Full Spectrum + 7 Colors, Adjustable Brightness Waterproof with Timer for Freshwater 36W",https://amzn.to/4mS1bz0,affiliate,sponsored noopener noreferrer,Source: data/gear_lighting.csv L15
Lights — 36–48 inches,"hygger Advanced Remote Control Aquarium Light Customizable Full Spectrum Fish Tank LED with DIY, Default & Weather Mode Freshwater Planted Tank",https://amzn.to/3ISKOEg,affiliate,sponsored noopener noreferrer,Source: data/gear_lighting.csv L16
Lights — l-48-up,"AQQA Aquarium Light, Multi-Function Fish Tank LED Light 24/7 DIY Auto On Off + Night Mode + Day Mode + Full Spectrum + 7 Colors, Adjustable Brightness Waterproof with Timer for Freshwater 44W",https://amzn.to/3VVjRCW,affiliate,sponsored noopener noreferrer,Source: data/gear_lighting.csv L17
Lights — l-48-up,"hygger Sun Moon LED Aquarium Light, Full Spectrum Fish Tank Light Day-Night Dual Timer, Adjustable 6 Timer 10 Brightness 8 Colors for Planted Freshwater Tank",https://amzn.to/4gWbLUp,affiliate,sponsored noopener noreferrer,Source: data/gear_lighting.csv L18
Lights — l-48-up,hygger Auto On Off 48-55 Inch LED Aquarium Light Extendable Dimmable 7 Colors Full Spectrum Light Fixture for Freshwater Planted Tank Built-in Timer Sunrise Sunset,https://amzn.to/4h1IbwH,affiliate,sponsored noopener noreferrer,Source: data/gear_lighting.csv L19
Air & Aeration — Air Pumps,"HITOP 4W 110GPH Powerful Aquarium Air Pump: Quiet 2-outlets Aquarium Aerator, Adjustable Fish Tank Air Pump with Accessories, for 20-200 Gallon Tank",https://amzn.to/42vZsbh,affiliate,sponsored noopener noreferrer,Source: data/gear_aeration.csv L2
Air & Aeration — Air Pumps,"hygger Aquarium Air Pump, Ultra Quiet Oxygen Aerator with Air Stone Airline Tubing Check Valve, Aquarium Fish Tank Air Bubbler for 3 to 79 Gallon Tank and Bucket",https://amzn.to/4h2AW7B,affiliate,sponsored noopener noreferrer,Source: data/gear_aeration.csv L3
Air & Aeration — Air Pumps,"hygger Aquarium Air Pump, Quiet Adjustable Fish Tank Air Pump, 4W/7W/11W Powerful Oxygen Aerator Dual Stainless Steel Outlets with Air Stone Bubbler for Small Medium Large Fish Tank, Hydroponic",https://amzn.to/4q0N25a,affiliate,sponsored noopener noreferrer,Source: data/gear_aeration.csv L4
Air & Aeration — Airline Accessories,"AQUANEAT Aquarium Check Valve, One Way Non Return Valve for Air Pump, Fit for 3/16 Inch Airline Tubing, Fish Tank Accessories, 10pcs (Red)",https://amzn.to/42wLPZs,affiliate,sponsored noopener noreferrer,Source: data/gear_aeration.csv L5
Air & Aeration — Airline Accessories,"Aquarium Air Valve, 10 Pcs Aquarium Air Pump Control Valves T Shaped Single Way Plastic Air Flow Control Regulator Aquarium Air Pump Accessories for Fish Tank 3/16"" ID Tubing (Black)",https://amzn.to/46F8DIW,affiliate,sponsored noopener noreferrer,Source: data/gear_aeration.csv L6
Air & Aeration — Airline Accessories,"ALEGI Aquarium Air Pump Accessories Set 25 Feet Airline Tubing with 6 Check Valves, 6 Control Valve and 40 Connectors for Fish Tank White",https://amzn.to/48S7HlO,affiliate,sponsored noopener noreferrer,Source: data/gear_aeration.csv L7
Substrate & Aquascaping — Base Layers & Soil,"Fluval 12695 Plant and Shrimp Stratum for Freshwater Fish Tanks, 17.6 lbs – Aquarium Substrate for Strong Plant Growth",https://amzn.to/4gXDMuF,affiliate,sponsored noopener noreferrer,Source: data/gear_substrate.csv L2
Substrate & Aquascaping — Base Layers & Soil,"Fluval 12698 Natural Mineral-Rich Volcanic Soil Bio Stratum for Planted Tanks, 17.6 lbs",https://amzn.to/3WtUCHW,affiliate,sponsored noopener noreferrer,Source: data/gear_substrate.csv L3
Substrate & Aquascaping — Base Layers & Soil,Seachem Flourite Black Clay Gravel - Stable Porous Natural Planted Aquarium Substrate 15.4 lbs,https://amzn.to/4mVTEiK,affiliate,sponsored noopener noreferrer,Source: data/gear_substrate.csv L4
Substrate & Aquascaping — Base Layers & Soil,"Flourite, 7 kg / 15.4 lbs",https://amzn.to/48SfvUL,affiliate,sponsored noopener noreferrer,Source: data/gear_substrate.csv L5
Substrate & Aquascaping — Base Layers & Soil,API Root Tabs Aquarium Fertilizer 30-Count,https://www.amazon.com/dp/B003SNDNQ6/?tag=fishkeepingli-20,affiliate,sponsored noopener noreferrer,Source: data/gear_substrate.csv L6
Substrate & Aquascaping — Gravel & Sand,"Carib Sea ACS05820 Super Natural Moonlight Sand for Aquarium, 5-Pound",https://amzn.to/3IxxGVd,affiliate,sponsored noopener noreferrer,Source: data/gear_substrate.csv L7
Substrate & Aquascaping — Gravel & Sand,"Aqua Natural Diamond Black 10lb, Premium Gravel and Substrate for Aquariums, Fish Tanks and Terrariums, 1-2mm",https://amzn.to/3IJ16jd,affiliate,sponsored noopener noreferrer,Source: data/gear_substrate.csv L8
Substrate & Aquascaping — Gravel & Sand,20LB Decorative River Rocks Gravel - 2/5\ Mixed Color Gravel for Vase Filling,Landscaping,external,sponsored noopener noreferrer,Source: data/gear_substrate.csv L9
Substrate & Aquascaping — Gravel & Sand,"10LB Mixed Stones Pebbles River Rocks, Natural Beach Pebbles, 0.5–1 Inch Decorative River Rocks for Landscaping Garden Paving Plant Rocks Crafting Walkways and Outdoor Decorative Stone",https://amzn.to/46WKOLx,affiliate,sponsored noopener noreferrer,Source: data/gear_substrate.csv L10
Substrate & Aquascaping — Gravel & Sand,"CaribSea Arag-Alive Fiji Pink Sand, 20 lb",https://www.amazon.com/dp/B00025698M/?tag=fishkeepingli-20,affiliate,sponsored noopener noreferrer,Source: data/gear_substrate.csv L11
Substrate & Aquascaping — Rock & Hardscape,Dragon Stone (Ohko) – Assorted Sizes,https://www.amazon.com/dp/B07HFHKD8V/?tag=fishkeepingli-20,affiliate,sponsored noopener noreferrer,Source: data/gear_substrate.csv L12
Substrate & Aquascaping — Rock & Hardscape,Seiryu Stone Natural Stone Rocks Fish Tank Decor Rocks for Aquariums Landscaping Model Tank Decoration Aquarium Miniature -20Lb (2-8 inch),https://amzn.to/46HWDGK,affiliate,sponsored noopener noreferrer,Source: data/gear_substrate.csv L13
Substrate & Aquascaping — Rock & Hardscape,"Natural Rock Stone 10LB Fish Tank Rock for Aquarium Landscaping Models Fish Tank Decoration, Freshwater Planted Aquariums and Amphibian enclosures-2-6 inches",https://amzn.to/42YxBAI,affiliate,sponsored noopener noreferrer,Source: data/gear_substrate.csv L14
Substrate & Aquascaping — Rock & Hardscape,"Lava Rocks for Aquarium, 10 lbs",https://www.amazon.com/dp/B07MDVG3P2/?tag=fishkeepingli-20,affiliate,sponsored noopener noreferrer,Source: data/gear_substrate.csv L15
Substrate & Aquascaping — Wood & Driftwood,Spiderwood (Root Form) – Assorted Sizes,https://www.amazon.com/dp/B00GH7YDBQ/?tag=fishkeepingli-20,affiliate,sponsored noopener noreferrer,Source: data/gear_substrate.csv L16
Substrate & Aquascaping — Wood & Driftwood,Mopani Driftwood – Natural,https://www.amazon.com/dp/B0002DJ9WW/?tag=fishkeepingli-20,affiliate,sponsored noopener noreferrer,Source: data/gear_substrate.csv L17
Substrate & Aquascaping — Wood & Driftwood,"Hamiledyi 12Pcs Small Driftwood for Aquarium 4.1\-7.2\"" Driftwood Branches Aquarium Wood Decoration Natural Fish Tank Habitat Decor Wood for Lizard Assorted Size""",https://amzn.to/4h0jGzK,affiliate,sponsored noopener noreferrer,Source: data/gear_substrate.csv L18
Substrate & Aquascaping — Wood & Driftwood,"majoywoo Natural Small Driftwood for Aquarium Decor Reptile Decor, Assorted Driftwood Branch 2-4.5\ 10 Pcs",Curated mini driftwood pieces; ideal for accenting carpets and moss mounds.,external,sponsored noopener noreferrer,Source: data/gear_substrate.csv L19
Fertilizers — Fertilizers,API ROOT TABS Freshwater Aquarium Plant Fertilizer 0.4-Ounce 10-Count Box,https://amzn.to/48ECCCn,affiliate,sponsored noopener noreferrer,Source: data/gear_treatments.csv L2 | Category: Water Treatments & Fertilizers
Fertilizers — Fertilizers,ThriveCaps | Aquarium Root Fertilizer Tabs Caps 60 Count,https://amzn.to/4h1RoF2,affiliate,sponsored noopener noreferrer,Source: data/gear_treatments.csv L3 | Category: Water Treatments & Fertilizers
Fertilizers — Fertilizers,Seachem Flourish Excel 500 ml,https://amzn.to/48gdh1g,affiliate,sponsored noopener noreferrer,Source: data/gear_treatments.csv L4 | Category: Water Treatments & Fertilizers
Fertilizers — Fertilizers,2HR Aquarist All-in-one Aquarium Plant Fertilizers APT 3 / Complete (600ml),https://amzn.to/46YTXmT,affiliate,sponsored noopener noreferrer,Source: data/gear_treatments.csv L5 | Category: Water Treatments & Fertilizers
Fertilizers — Fertilizers,Thrive S Shrimp Specific All in One Aquarium Fertilizer – 500ml Liquid Plant Food – Comprehensive nutrients – Aquarium Nutrition – Convenient to Use – Concentrated Aquarium Plant Fertilizer,https://amzn.to/4mSnO6o,affiliate,sponsored noopener noreferrer,Source: data/gear_treatments.csv L6 | Category: Water Treatments & Fertilizers
Fertilizers — Fertilizers,Seachem Flourish Freshwater Plant Supplement 500 ml,https://amzn.to/4pZWiXf,affiliate,sponsored noopener noreferrer,Source: data/gear_treatments.csv L7 | Category: Water Treatments & Fertilizers
Fertilizers — Fertilizers,Thrive+ All in One Liquid Aquarium Plant Fertilizer – 500ml Highly Concentrated Aquatic Plant Fertilizer Solution – Nutrient-Rich Aquarium Plant Food – Convenient Usage – Effective Results,https://amzn.to/3J0LcRd,affiliate,sponsored noopener noreferrer,Source: data/gear_treatments.csv L8 | Category: Water Treatments & Fertilizers
Water Treatments — Recommended Water Treatments & Fertilizers,Seachem 437 Prime Fresh and Saltwater Conditioner – Chemical Remover and Detoxifier 1 L,https://amzn.to/4h8EfKz,affiliate,sponsored noopener noreferrer,Source: data/gear_water_food_tools.csv L2 | Category: Water Treatments & Fertilizers | Option: Option 1
Water Treatments — Recommended Water Treatments & Fertilizers,"Seachem Stability Fish Tank Stabilizer – For Freshwater and Marine Aquariums, 16.9 Fl Oz (Pack of 1)",https://amzn.to/4gYNUDf,affiliate,sponsored noopener noreferrer,Source: data/gear_water_food_tools.csv L3 | Category: Water Treatments & Fertilizers | Option: Option 2
Water Treatments — Recommended Water Treatments & Fertilizers,API TAP WATER CONDITIONER Aquarium Water Conditioner 16-Ounce Bottle,https://amzn.to/48d12T7,affiliate,sponsored noopener noreferrer,Source: data/gear_water_food_tools.csv L4 | Category: Water Treatments & Fertilizers | Option: Option 3
Water Treatments — Recommended Water Treatments & Fertilizers,"Tetra AquaSafe Plus – Aquarium Water Conditioner and Dechlorinator, 33.8 Ounces",https://amzn.to/4q3itMw,affiliate,sponsored noopener noreferrer,Source: data/gear_water_food_tools.csv L5 | Category: Water Treatments & Fertilizers | Option: Option 4
Water Treatments — Testing & Monitoring,"VIVOSUN Digital pH and TDS Meter Kits, 0.01 pH High Accuracy Pen Type pH Meter ±2% Readout Accuracy 3-in-1 TDS EC Temperature Meter for Hydroponics, Pool, and Aquarium, Yellow Blue, UL Certified",https://amzn.to/46F70el,affiliate,sponsored noopener noreferrer,Source: data/gear_water_food_tools.csv L6
